Model,Category,JD_Num,K,P@K,NDCG@K,Accuracy
TF-IDF,HEALTHCARE,1,10,0.6,0.6651928536555899,60.0
TF-IDF,HEALTHCARE,2,5,0.6,0.4912596920895758,60.0
TF-IDF,HEALTHCARE,2,10,0.5,0.4634464183177906,50.0
TF-IDF,HEALTHCARE,3,5,0.4,0.5087403079104241,40.0
TF-IDF,HEALTHCARE,3,10,0.4,0.4631896595828492,40.0
TF-IDF,ENGINEERING,1,5,0.6,0.5296347172140421,60.0
TF-IDF,ENGINEERING,1,10,0.7,0.6285108926059098,70.0
TF-IDF,ENGINEERING,2,5,0.2,0.21398626473452756,20.0
TF-IDF,ENGINEERING,2,10,0.2,0.21726071285222986,20.0
TF-IDF,ENGINEERING,3,5,1.0,1.0,100.0
TF-IDF,ENGINEERING,3,10,1.0,1.0,100.0
TF-IDF,ENGINEERING,4,5,0.4,0.3156484524795145,40.0
TF-IDF,ENGINEERING,4,10,0.2,0.20483424751859086,20.0
TF-IDF,ENGINEERING,5,5,1.0,1.0,100.0
TF-IDF,ENGINEERING,5,10,0.7,0.7885497208855957,70.0
TF-IDF,ENGINEERING,6,5,0.4,0.4703652827859579,40.0
TF-IDF,ENGINEERING,6,10,0.5,0.5264282969545138,50.0
TF-IDF,ENGINEERING,7,5,0.0,0.0,0.0
TF-IDF,ENGINEERING,7,10,0.3,0.20641593223508903,30.0
TF-IDF,ENGINEERING,8,5,0.8,0.8687949224876582,80.0
TF-IDF,ENGINEERING,8,10,0.8,0.84860265890399,80.0
TF-IDF,ENGINEERING,9,5,0.8,0.6608397947263839,80.0
TF-IDF,ENGINEERING,9,10,0.6,0.576669299949219,60.0
TF-IDF,ENGINEERING,10,5,1.0,1.0,100.0
TF-IDF,ENGINEERING,10,10,0.9,0.9363792118010483,90.0
TF-IDF,ACCOUNTANT,1,5,0.4,0.36005461457723403,40.0
TF-IDF,ACCOUNTANT,1,10,0.4,0.3783033006761697,40.0
TF-IDF,ACCOUNTANT,2,5,0.6,0.5296347172140421,60.0
TF-IDF,ACCOUNTANT,2,10,0.4,0.4131279133289227,40.0
TF-IDF,ACCOUNTANT,3,5,0.4,0.36005461457723403,40.0
TF-IDF,ACCOUNTANT,3,10,0.4,0.3783033006761697,40.0
TF-IDF,DIGITAL-MEDIA,1,5,0.8,0.6608397947263839,80.0
TF-IDF,DIGITAL-MEDIA,1,10,0.6,0.5618918191694954,60.0
TF-IDF,DIGITAL-MEDIA,2,5,0.8,0.8687949224876582,80.0
TF-IDF,DIGITAL-MEDIA,2,10,0.8,0.8512360941594274,80.0
TF-IDF,DIGITAL-MEDIA,3,5,0.6,0.5296347172140421,60.0
TF-IDF,DIGITAL-MEDIA,3,10,0.6,0.5501126236272343,60.0
TF-IDF,DIGITAL-MEDIA,4,5,0.8,0.8539316501572937,80.0
TF-IDF,DIGITAL-MEDIA,4,10,0.9,0.9052116356304493,90.0
TF-IDF,DIGITAL-MEDIA,5,5,1.0,1.0,100.0
TF-IDF,DIGITAL-MEDIA,5,10,0.8,0.866947989864271,80.0
TF-IDF,DIGITAL-MEDIA,6,5,0.6,0.5147714448836774,60.0
