Model,JD_Key,Category,K,P@K,R@K,NDCG@K
SBERT,AGRICULTURE_JD7,AGRICULTURE,10,0.0,0.0,0.0
SBERT,AGRICULTURE_JD8,AGRICULTURE,5,0.0,0.0,0.0
SBERT,AGRICULTURE_JD8,AGRICULTURE,10,0.0,0.0,0.0
SBERT,APPAREL_JD1,APPAREL,5,0.2,0.010309278350515464,0.14606834984270645
SBERT,APPAREL_JD1,APPAREL,10,0.2,0.020618556701030927,0.1731866333482261
SBERT,APPAREL_JD2,APPAREL,5,0.2,0.010309278350515464,0.21398626473452756
SBERT,APPAREL_JD2,APPAREL,10,0.1,0.010309278350515464,0.13886244387355454
SBERT,APPAREL_JD3,APPAREL,5,0.0,0.0,0.0
SBERT,APPAREL_JD3,APPAREL,10,0.1,0.010309278350515464,0.06625422345438903
SBERT,APPAREL_JD4,APPAREL,5,0.2,0.010309278350515464,0.16958010263680806
SBERT,APPAREL_JD4,APPAREL,10,0.1,0.010309278350515464,0.11004588314904008
SBERT,APPAREL_JD5,APPAREL,5,0.2,0.010309278350515464,0.14606834984270645
SBERT,APPAREL_JD5,APPAREL,10,0.3,0.030927835051546393,0.24655055544758614
SBERT,APPAREL_JD6,APPAREL,5,0.0,0.0,0.0
SBERT,APPAREL_JD6,APPAREL,10,0.0,0.0,0.0
SBERT,APPAREL_JD7,APPAREL,5,0.0,0.0,0.0
SBERT,APPAREL_JD7,APPAREL,10,0.4,0.041237113402061855,0.2816372027313761
SBERT,APPAREL_JD8,APPAREL,5,0.2,0.010309278350515464,0.3391602052736161
SBERT,APPAREL_JD8,APPAREL,10,0.2,0.020618556701030927,0.28952298823485745
SBERT,CONSTRUCTION_JD1,CONSTRUCTION,5,0.0,0.0,0.0
SBERT,CONSTRUCTION_JD1,CONSTRUCTION,10,0.0,0.0,0.0
SBERT,CONSTRUCTION_JD2,CONSTRUCTION,5,0.8,0.03571428571428571,0.8687949224876582
SBERT,CONSTRUCTION_JD2,CONSTRUCTION,10,0.9,0.08035714285714286,0.914856882358379
SBERT,CONSTRUCTION_JD3,CONSTRUCTION,5,0.6,0.026785714285714284,0.6548086577531307
SBERT,CONSTRUCTION_JD3,CONSTRUCTION,10,0.6,0.05357142857142857,0.6390097281865127
SBERT,PUBLIC-RELATIONS_JD1,PUBLIC-RELATIONS,5,0.4,0.018018018018018018,0.4703652827859579
SBERT,PUBLIC-RELATIONS_JD1,PUBLIC-RELATIONS,10,0.4,0.036036036036036036,0.4422195942380129
SBERT,PUBLIC-RELATIONS_JD2,PUBLIC-RELATIONS,5,0.4,0.018018018018018018,0.4703652827859579
SBERT,PUBLIC-RELATIONS_JD2,PUBLIC-RELATIONS,10,0.5,0.04504504504504504,0.5264282969545138
SBERT,PUBLIC-RELATIONS_JD3,PUBLIC-RELATIONS,5,0.0,0.0,0.0
SBERT,PUBLIC-RELATIONS_JD3,PUBLIC-RELATIONS,10,0.2,0.018018018018018018,0.1478294909154526
SBERT,PUBLIC-RELATIONS_JD4,PUBLIC-RELATIONS,5,0.8,0.036036036036036036,0.8687949224876582
SBERT,PUBLIC-RELATIONS_JD4,PUBLIC-RELATIONS,10,0.6,0.05405405405405406,0.715550648768261
SBERT,PUBLIC-RELATIONS_JD5,PUBLIC-RELATIONS,5,0.4,0.018018018018018018,0.34519134224686937
SBERT,PUBLIC-RELATIONS_JD5,PUBLIC-RELATIONS,10,0.2,0.018018018018018018,0.22400556151517553
SBERT,PUBLIC-RELATIONS_JD6,PUBLIC-RELATIONS,5,0.4,0.018018018018018018,0.3156484524795145
SBERT,PUBLIC-RELATIONS_JD6,PUBLIC-RELATIONS,10,0.4,0.036036036036036036,0.34181895781690264
SBERT,PUBLIC-RELATIONS_JD7,PUBLIC-RELATIONS,5,0.4,0.018018018018018018,0.4703652827859579
SBERT,PUBLIC-RELATIONS_JD7,PUBLIC-RELATIONS,10,0.3,0.02702702702702703,0.3714891073940902
SBERT,PUBLIC-RELATIONS_JD8,PUBLIC-RELATIONS,5,0.0,0.0,0.0
SBERT,PUBLIC-RELATIONS_JD8,PUBLIC-RELATIONS,10,0.0,0.0,0.0
SBERT,PUBLIC-RELATIONS_JD9,PUBLIC-RELATIONS,5,0.4,0.018018018018018018,0.5087403079104241
SBERT,PUBLIC-RELATIONS_JD9,PUBLIC-RELATIONS,10,0.4,0.036036036036036036,0.4818998405251556
SBERT,BPO_JD1,BPO,5,0.0,0.0,0.0
SBERT,BPO_JD1,BPO,10,0.0,0.0,0.0
SBERT,BPO_JD2,BPO,5,0.0,0.0,0.0
SBERT,BPO_JD2,BPO,10,0.0,0.0,0.0
SBERT,BPO_JD3,BPO,5,0.0,0.0,0.0
SBERT,BPO_JD3,BPO,10,0.0,0.0,0.0
SBERT,BPO_JD4,BPO,5,0.0,0.0,0.0
SBERT,BPO_JD4,BPO,10,0.2,0.09090909090909091,0.1478294909154526
SBERT,BPO_JD5,BPO,5,0.0,0.0,0.0
SBERT,BPO_JD5,BPO,10,0.0,0.0,0.0
SBERT,BPO_JD6,BPO,5,0.0,0.0,0.0
SBERT,BPO_JD6,BPO,10,0.1,0.045454545454545456,0.07336392209936005
BERT,HR_JD1,HR,5,0.8,0.03636363636363636,0.8687949224876582
BERT,HR_JD1,HR,10,0.8,0.07272727272727272,0.84860265890399
BERT,HR_JD2,HR,5,0.4,0.01818181818181818,0.48522855511632257
BERT,HR_JD2,HR,10,0.4,0.03636363636363636,0.45186484096594276
BERT,HR_JD3,HR,5,0.4,0.01818181818181818,0.27727342735504823
BERT,HR_JD3,HR,10,0.3,0.02727272727272727,0.24936270394794902
BERT,HR_JD4,HR,5,0.0,0.0,0.0
BERT,HR_JD4,HR,10,0.0,0.0,0.0
